title,OEM,OEM Number,Description,Product Availability
TMH 261 Turbo Vacuum Pump with TC 600 Controller,,D-35614 (TMH261YPX),"Pfeiffer Vacuum D-35614 Asslar Model TMH 261 YPX Turbo Vacuum Pump with Pfeiffer Vacuum TC 750 Turbo Pump Controller, Model No. PMC01712",In Stock
HiPace 300 Turbo Vacuum Pump with TC 400 Controller,Pfeiffer,PM-P03-900,"PFEIFFER VACUUM HIPACE 300 TURBO PUMP PM P03 900 WITH TC 400 CONTROLLER, DN 100 ISO-K, PMC01800A",In Stock
60kV HIGH VOLTAGE CONVERTER 0090-91246,Hitek,0090-91246,"Advance Hivolt (Hitek) 0090-91246-60KV Converter, High Voltage",In Stock
Advance Hivolt (Hitek) 1140-00248 80kV HIGH VOLTAGE CONVERTER,Hitek,1140-00248,"Advance Hivolt (Hitek) 1140-98035-80kV Converter, High Voltage Supply, Serial Number 194995",In Stock
WAFER ARM DRIVE ASSY,AMAT ,9010-01506,"AMAT WAFER ARM DRIVE ASSY (ORIGINAL PACKAGING, VACUUM SEALED)",In Stock
"COMPUTER ASSEMBLY, CONTROL",Varian ,E11092037,"Varian Computer Assembly, Control",In Stock
GSD Transformer,Axcelis,2400113,Axcelis GSD Transformer Isol 5kva 100KV DC,In Stock
Magnet Power Supply,Varian ,E11000142,Varian Magnet Power Supply E11000142,In Stock
E19000800 Trek Amplifier,Varian ,E19000800,20kV Trek Scan Amplifier for Varian E19000800,In Stock
On-Board Cryopump,CTI,8116469G002,CTI-Cryogenics On-Board Cryopump,In Stock
QX VME CONTROL CHASSIS ASSY,AMAT ,9090-01327,AMAT QX VME CONTROL CHASSIS ASSY,In Stock
"KIT,150mm VA OPTO BRD & FLAG",AMAT ,0240-92854,"AMAT KIT,150mm VA OPTO BRD & FLAG (original packaging, sealed)",In Stock
Turbo Pump Controller,Leybold,NT340M,Leybold Turbotronik NT340M Controller,In Stock
ASSY 45W XP PSU,AMAT ,0090-91640,"AMAT ASSY 45W XP P.S.U (original OEM packaging, sealed)",In Stock
DC Servo Motor 1000 Series,Aerotech,1050-04-5000-01,Aerotech 1000 Series DC Servo Motor,In Stock
330 Ionization Gauge Controller,,Model 00,Granville-Phillips 330 Ionization Gauge Controller Model 00,In Stock
Chopper Drive,AMAT ,0100-00011,"AMAT 0100-00011 PWB, CHOPPER DRIVE 1",In Stock
Flexible Coupling,AMAT ,0760-90008,AMAT Flexible Coupling (original packaging),In Stock
PWBA Wafer Orienter Microcontroller,AMAT ,0100-99018,"AMAT PWBA Wafer Orienter Microcontroller (original OEM packaging, sealed)",In Stock
Tilt Motor,AMAT ,1080-90080,"AMAT Tilt Motor, 6"" (New & Sealed)",In Stock
Vacuum Turbo Pump,Pfeiffer,Y266215A,Pfeiffer Vacuum Turbo Pump Model Type ATH1603M ,In Stock
